"Date","Chrome","Safari","Yandex Browser","Opera","Firefox","Samsung Internet","Edge Legacy","UC Browser","IE","Android","Amigo","Puffin","QQ Browser","Maxthon","Sogou Explorer","Vivaldi","Chromium","Unknown","360 Safe Browser","IEMobile","Sony PS4","Mozilla","Other"
2019-03,67.38,7.59,6.45,6.89,4.5,2.29,1.12,0.92,0.97,0.65,0.53,0.12,0.08,0.1,0.06,0.11,0.04,0.06,0.03,0.03,0.01,0.01,0.06
2019-04,67.4,6.8,7.18,6.88,5.45,2.06,1.01,0.83,0.75,0.49,0.49,0.09,0.09,0.08,0.08,0.07,0.03,0.05,0.02,0.04,0.01,0.02,0.07
2019-05,67.02,7.42,6.93,6.7,5.34,2.22,1.1,0.93,0.71,0.53,0.46,0.08,0.1,0.07,0.09,0.09,0.02,0.04,0.04,0.03,0.01,0.01,0.07
2019-06,67.57,7.08,6.77,6.22,5.39,2.33,1.23,1.01,0.74,0.51,0.46,0.09,0.11,0.08,0.09,0.07,0.03,0.05,0.02,0.03,0.01,0.01,0.07
2019-07,66.66,7.63,6.37,5.98,4.8,3.1,2.32,0.89,0.75,0.46,0.33,0.11,0.13,0.09,0.07,0.06,0.04,0.05,0.02,0.02,0.01,0.01,0.09
2019-08,67.83,7.94,6.61,5.87,4.73,2.72,1.28,0.86,0.86,0.3,0.31,0.1,0.12,0.06,0.18,0.06,0.04,0.05,0.01,0.04,0.01,0.01,0.04
2019-09,69.52,7.92,6.32,4.78,4.68,2.75,1.27,0.76,0.71,0.25,0.3,0.1,0.09,0.09,0.04,0.06,0.2,0.05,0.01,0.03,0.01,0.01,0.04
2019-10,69.97,7.13,6.62,4.48,4.49,2.45,1.16,0.85,1.54,0.31,0.3,0.09,0.12,0.06,0.04,0.07,0.16,0.03,0,0.03,0.01,0.01,0.09
2019-11,71,7.12,6.94,4.94,4.14,2.2,1.14,0.66,0.89,0.26,0.33,0.07,0.08,0.03,0.03,0.05,0.03,0.02,0,0.02,0,0.01,0.03
2019-12,68.05,7.67,7.14,6.76,4.39,2.5,1.13,0.72,0.75,0.17,0.26,0.08,0.07,0.06,0.04,0.06,0.02,0.03,0.01,0.03,0.01,0.01,0.04
2020-01,67.98,7.51,7.62,6.45,4.52,2.51,1.07,0.68,0.71,0.19,0.29,0.07,0.04,0.13,0.02,0.04,0.02,0.04,0.01,0.02,0.03,0.02,0.04
2020-02,69.61,7.38,8.15,4.88,4.54,2.27,1.04,0.72,0.49,0.19,0.22,0.07,0.04,0.1,0.06,0.03,0.03,0.05,0.01,0.01,0.01,0.01,0.09
2020-03,67.47,8.14,8.01,6.33,4.12,2.39,1.17,0.81,0.42,0.23,0.23,0.07,0.05,0.11,0.03,0.01,0.02,0.06,0.21,0.02,0.01,0.02,0.07
