Date,gold,oil
01.01.2000,277.05,28.88
01.01.2001,271.07,24.43
01.01.2002,313.17,25.29
01.01.2003,367.76,28.44
01.01.2004,410.47,38.87
01.01.2005,448.93,55.85
01.01.2006,612.91,66.71
01.01.2007,704.19,74.75
01.01.2008,880.47,97.28
01.01.2009,981.22,64
01.01.2010,1232.56,80.32
01.01.2011,1567.95,112.41
01.01.2012,1677.77,110.07
01.01.2013,1393.68,108.69
01.01.2014,1255.313,97.64
01.01.2015,1151.29,53.41
01.01.2016,1247.66,46.01
01.01.2017,1256.99,55.52
01.01.2018,1264.82,71.38
01.01.2019,1404.313,64.59
01.01.2020,1584.21,58.16
01.02.2020,1609.85,50.52
01.03.2020,1608.95,22.74
01.04.2020,1744.53,21.44
