"data,""gold"",""oil"""
"1/1/2000,""277.05"",""28.88"""
"1/1/2001,""271.07"",""24.43"""
"1/1/2002,""313.17"",""25.29"""
"1/1/2003,""367.76"",""28.44"""
"1/1/2004,""410.47"",""38.87"""
"1/1/2005,""448.93"",""55.85"""
"1/1/2006,""612.91"",""66.71"""
"1/1/2007,""704.19"",""74.75"""
"1/1/2008,""880.47"",""97.28"""
"1/1/2009,""981.22"",""64"""
"1/1/2010,""1232.56"",""80.32"""
"1/1/2011,""1567.95"",""112.41"""
"1/1/2012,""1677.77"",""110.7"""
"1/1/2013,""1393.68"",""108.69"""
"1/1/2014,""1255.313"",""97.64"""
"1/1/2015,""1151.29"",""53.41"""
"1/1/2016,""1247.66"",""46.1"""
"1/1/2017,""1256.99"",""55.55"""
"1/1/2018,""1264.82"",""71.38"""
"1/1/2019,""1404.313"",""64.59"""
"31/01/2020,""1584.2"",""58.16"""
"28/02/2020,""1609.85"",""50.52"""
"31/03/2020,""1608.95"",""22.74"""
"31/04/2020,""1744.5"",""21.44"""
